Table 7 - Staff Costs of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3444373,42615,72165,786423,117461,4463037,,1021554,497242,821986,343589,257735,268437,237531,3448074,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2813339,39022,61033,669451,90933,3673778,,824783,398513,675486,274700,210274,192142,182985,2758883,,2,,,,,,
147,,,Welsh College of Music and Drama,1974,0,0,0,0,1974,,212,162,903,218,0,0,0,1495,,147
,,,,,,,,,,,,,,,,,,,,
148,,Total Scotland,,373230,1967,5232,73511,13532,467472,,134990,61914,90637,44134,29656,66194,35347,462872,,148
149,,,The University of Aberdeen,27127,94,439,13321,1932,42913,,8692,4748,5753,3154,3519,2374,535,28775,,149
150,,,University of Abertay Dundee,7619,0,22,112,381,8134,,1790,1723,2048,888,313,574,1696,9032,,150
151,,,The University of Dundee,27250,0,255,13808,453,41766,,12466,4576,5184,2908,1624,3048,1324,31130,,151
152,,,Edinburgh College of Art,3804,112,0,103,0,4019,,1042,371,1367,842,94,371,182,4269,,152
153,,,The University of Edinburgh,60744,40,114,0,1540,62438,,26021,11515,13623,8032,5959,36841,6682,108673,,153
154,,,Glasgow Caledonian University,21541,736,1265,557,4315,28414,,4782,1553,5477,599,770,1300,1546,16027,,154
155,,,Glasgow School of Art,3612,0,0,0,0,3612,,1063,609,629,772,15,0,0,3088,,155
156,,,The University of Glasgow,60880,416,2438,27021,2363,93118,,21283,9339,12067,7251,3376,7868,1318,62502,,156
157,,,Heriot-Watt University,18078,0,0,4129,0,22207,,7870,3007,6762,2775,3040,331,2549,26334,,157
158,,,Napier University,19319,0,0,997,1481,21797,,4450,4188,5749,1783,756,0,107,17033,,158
159,,,Northern College of Education,4899,0,0,0,0,4899,,0,1095,1446,721,398,16,0,3676,,159
160,,,The University of Paisley,15288,188,248,750,18,16492,,3280,2860,3098,1930,384,0,549,12101,,160
161,,,"Queen Margaret University College, Edinburgh",6701,0,0,0,0,6701,,1680,1053,2148,666,645,572,160,6924,,161
162,,,The Robert Gordon University,16382,0,2,779,318,17481,,3120,2572,3280,1902,468,637,12239,24218,,162
163,,,The Royal Scottish Academy of Music and Drama,2742,0,0,0,0,2742,,209,652,728,266,0,21,0,1876,,163
164,,,The University of St Andrews,16919,0,0,6737,0,23656,,5849,2089,4243,2212,2969,165,274,17801,,164
165,,,Scottish Agricultural College,3945,0,0,1627,0,5572,,9206,1784,2772,577,72,3793,2853,21057,,165
166,,,The University of Stirling,18154,0,0,3166,458,21778,,3275,2652,4218,1923,2529,472,1457,16526,,166
167,,,The University of Strathclyde,38226,381,449,404,273,39733,,18912,5528,10045,4933,2725,7811,1876,51830,,167
,,,,,,,,,,,,,,,,,,,,
168,,Total Great Britain,,3360045,42144,69204,771767,111309,4354469,,1000891,484181,806511,333707,254215,265121,234460,3379086,,168
,,,,,,,,,,,,,,,,,,,,
169,,Total Northern Ireland,,84328,471,2961,14656,6152,108568,,20663,13061,15475,9882,3520,3316,3071,68988,,169
170,,,The Queen's University of Belfast,44523,40,522,10223,4502,59810,,11545,5304,8030,4047,1638,2603,0,33167,,170
171,,,St Mary's University College,2206,3,234,0,0,2443,,218,430,366,268,0,0,0,1282,,171
172,,,Stranmillis University College,2136,0,0,30,0,2166,,83,491,886,0,450,0,0,1910,,172
173,,,University of Ulster,35463,428,2205,4403,1650,44149,,8817,6836,6193,5567,1432,713,3071,32629,,173
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
