,,,,,,,,,,,,,,,,,,,,,,
"Table 19b - Summaries of Academic Staff in all UK Institutions by Age, Gender and Mode of Employment 2001/02",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Full-time Staff,,,,,,,Part-time Staff,,,,,,,,,
,,,,Age,,,,Gender,,,,Age,,,,Gender,,,,,,
,,,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Total,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
96,,,"University of Surrey, Roehampton",45,15%,18%,,125,115,245,,47,16%,28%,,110,45,155,,395,,96
97,,,Rose Bruford College,43,..,..,,5,20,25,,40,..,..,,10,15,25,,55,,97
98,,,Royal Academy of Music,44,..,..,,0,10,10,,52,9%,43%,,20,50,70,,80,,98
99,,,Royal Agricultural College(#1),45,..,..,,5,30,35,,..,..,..,,0,5,5,,45,,99
100,,,Royal College of Art,47,..,..,,20,20,40,,38,46%,9%,,30,50,80,,120,,100
101,,,Royal College of Music,47,..,..,,5,20,20,,51,..,..,,10,25,35,,55,,101
102,,,Royal Holloway and Bedford New College,40,34%,12%,,195,365,560,,45,28%,32%,,60,65,125,,685,,102
103,,,Royal Northern College of Music,49,..,..,,5,25,30,,48,13%,32%,,20,35,55,,85,,103
104,,,The Royal Veterinary College,39,37%,10%,,70,95,165,,..,..,..,,0,5,5,,170,,104
105,,,St George's Hospital Medical School,40,39%,9%,,315,315,635,,45,16%,15%,,65,25,90,,720,,105
106,,,College of St Mark and St John,46,15%,17%,,40,70,110,,47,..,..,,10,15,25,,135,,106
107,,,St Martin's College,46,11%,14%,,170,160,335,,46,11%,22%,,40,15,55,,390,,107
108,,,St Mary's College,43,22%,11%,,45,60,110,,44,..,..,,20,15,35,,145,,108
109,,,The University of Salford,43,20%,12%,,330,625,955,,47,19%,32%,,70,75,145,,1105,,109
110,,,The School of Oriental and African Studies,46,15%,22%,,90,190,280,,48,..,..,,15,30,45,,325,,110
111,,,The School of Pharmacy,38,49%,13%,,25,75,100,,..,..,..,,0,0,5,,100,,111
112,,,Sheffield Hallam University,44,23%,15%,,385,745,1130,,47,15%,25%,,175,145,325,,1455,,112
113,,,The University of Sheffield,40,36%,10%,,730,1525,2255,,41,27%,7%,,165,65,230,,2480,,113
114,,,Southampton Institute,46,12%,18%,,95,290,385,,49,13%,37%,,45,90,135,,520,,114
115,,,The University of Southampton,39,42%,9%,,660,1420,2080,,43,26%,20%,,200,130,330,,2410,,115
116,,,Staffordshire University,45,15%,13%,,210,390,605,,43,23%,16%,,75,80,155,,755,,116
117,,,The University of Sunderland,43,19%,12%,,185,365,550,,43,24%,19%,,285,335,620,,1170,,117
118,,,"The Surrey Institute of Art and Design, University College",44,19%,14%,,35,45,80,,41,35%,13%,,40,20,60,,140,,118
119,,,The University of Surrey,40,36%,13%,,300,610,910,,48,14%,32%,,110,85,195,,1105,,119
120,,,The University of Sussex,40,37%,14%,,255,585,840,,46,26%,32%,,65,80,150,,985,,120
121,,,The University of Teesside,44,16%,12%,,215,315,535,,43,31%,17%,,55,35,95,,625,,121
122,,,Thames Valley University,47,8%,13%,,205,210,415,,45,13%,19%,,50,45,95,,510,,122
123,,,Trinity And All Saints College,46,17%,20%,,45,55,105,,46,..,..,,10,15,25,,130,,123
124,,,Trinity College of Music,..,..,..,,0,0,0,,51,2%,37%,,15,35,55,,55,,124
125,,,University College London,38,45%,9%,,1475,2535,4010,,44,28%,24%,,325,300,625,,4630,,125
126,,,The University of Warwick,41,34%,14%,,405,910,1310,,45,21%,25%,,90,75,165,,1475,,126
127,,,"University of the West of England, Bristol",45,13%,14%,,385,585,965,,44,22%,18%,,175,150,320,,1290,,127
128,,,The University of Westminster,46,15%,19%,,215,425,640,,44,18%,17%,,255,250,505,,1145,,128
129,,,Wimbledon School of Art,49,..,..,,5,15,25,,45,..,..,,10,10,20,,45,,129
130,,,The University of Wolverhampton,44,15%,12%,,360,490,850,,42,24%,15%,,115,85,200,,1045,,130
131,,,University College Worcester,46,14%,18%,,95,105,195,,44,16%,14%,,40,15,55,,255,,131
132,,,Writtle College,42,29%,7%,,55,90,150,,46,..,..,,15,5,20,,170,,132
133,,,York St John College,46,13%,19%,,65,80,145,,47,..,..,,30,10,40,,185,,133
134,,,The University of York,39,42%,12%,,300,680,980,,43,31%,20%,,85,55,140,,1120,,134
,,,,,,,,,,,,,,,,,,,,,,
135,,Total Wales,,42,28%,13%,,1885,3885,5770,,44,24%,18%,,455,370,830,,6595,,135
136,,,"University of Wales, Aberystwyth",41,31%,12%,,140,380,520,,50,10%,39%,,40,50,90,,610,,136
137,,,"University of Wales, Bangor",42,27%,11%,,220,415,635,,42,30%,14%,,50,25,75,,710,,137
138,,,Cardiff University,40,39%,12%,,500,1140,1640,,42,35%,18%,,80,90,170,,1810,,138
139,,,"University of Wales Institute, Cardiff",46,14%,19%,,115,210,330,,44,..,..,,30,20,50,,380,,139
140,,,University of Glamorgan,44,16%,13%,,170,400,570,,42,33%,16%,,65,60,125,,695,,140
141,,,"The University of Wales, Lampeter",44,21%,15%,,30,55,85,,54,..,..,,5,10,15,,100,,141
142,,,University of Wales College of Medicine,41,32%,10%,,310,365,670,,44,16%,9%,,55,20,75,,745,,142
