Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
78,,,Middlesex University,24250,522,165,3329,91,28357,,10289,10071,6382,3094,998,1126,1484,33444,,78
79,,,The University of Newcastle-upon-Tyne,50909,803,157,18351,1268,71488,,13059,7368,12231,5163,3383,2491,12809,56504,,79
80,,,Newman College,2307,0,0,0,15,2322,,71,330,1023,199,434,0,78,2135,,80
81,,,The University of North London,19010,71,420,1015,0,20516,,4513,5002,7505,1719,812,1045,0,20596,,81
82,,,University College Northampton,14454,19,0,469,110,15052,,2630,1772,5000,1142,747,0,397,11688,,82
83,,,Northern School of Contemporary Dance,491,0,0,0,0,491,,0,133,218,33,0,0,20,404,,83
84,,,The University of Northumbria at Newcastle,34984,115,143,2136,425,37803,,10639,7659,7539,3750,2283,737,75,32682,,84
85,,,Norwich School of Art and Design,1450,103,47,0,0,1600,,435,232,741,156,30,0,11,1605,,85
86,,,The Nottingham Trent University,39267,1190,0,1649,0,42106,,11256,5839,6546,4094,1687,133,1508,31063,,86
87,,,The University of Nottingham,55481,380,44,21045,1479,78429,,27924,9332,10524,5644,7763,3902,3519,68608,,87
88,,,The Open University,72469,157,3612,2794,0,79032,,21464,14632,54277,2795,0,542,2795,96505,,88
89,,,Oxford Brookes University,25684,227,638,1484,428,28461,,7165,3883,6188,2321,2639,584,2627,25407,,89
90,,,The University of Oxford,66795,0,0,61325,0,128120,,21306,21250,17366,6046,324,9131,6326,81749,,90
91,,,The University of Plymouth,30209,1328,4061,3392,1608,40598,,8743,4969,5099,3937,1562,374,1145,25829,,91
92,,,The University of Portsmouth,28326,653,1276,2022,1,32278,,8234,3705,5116,1833,2319,249,11,21467,,92
93,,,Queen Mary and Westfield College,39217,0,0,14953,1026,55196,,11777,3996,5843,3593,2017,3481,1762,32469,,93
94,,,Ravensbourne College of Design and Communication,1571,0,0,0,0,1571,,534,479,704,66,0,0,33,1816,,94
95,,,The University of Reading,34507,2422,4045,10249,1630,52853,,7911,1683,3003,5400,6289,1175,2956,28417,,95
96,,,"University of Surrey, Roehampton",11182,0,0,480,0,11662,,2215,3189,3925,868,2176,0,0,12373,,96
97,,,Rose Bruford College,1106,0,0,0,4,1110,,159,85,763,92,10,0,0,1109,,97
98,,,Royal Academy of Music,3814,0,0,0,0,3814,,0,279,1310,463,132,0,26,2210,,98
99,,,Royal Agricultural College(#1),1504,131,0,32,0,1667,,101,177,573,275,737,0,392,2255,,99
100,,,Royal College of Art,2538,135,0,690,0,3363,,1980,765,1929,248,315,66,320,5623,,100
101,,,Royal College of Music,2791,0,0,0,0,2791,,1152,475,1346,0,25,0,0,2998,,101
102,,,Royal Holloway and Bedford New College,18032,0,64,4321,51,22468,,3533,2134,4853,950,3244,489,304,15507,,102
103,,,Royal Northern College of Music,2774,0,0,0,0,2774,,242,278,1419,324,276,0,375,2914,,103
104,,,The Royal Veterinary College,3618,0,0,1391,1539,6548,,1751,1188,1540,866,276,397,2286,8304,,104
105,,,St George's Hospital Medical School,17105,0,0,8853,0,25958,,5898,2024,2559,555,30,2544,0,13610,,105
106,,,College of St Mark and St John,4468,55,387,83,54,5047,,812,407,882,634,298,2,235,3270,,106
107,,,St Martin's College,11990,0,0,0,773,12763,,1872,1008,3465,1357,1110,30,510,9352,,107
108,,,St Mary's College,4489,43,49,41,0,4622,,708,675,1517,1003,842,11,0,4756,,108
109,,,The University of Salford,33246,195,882,1500,1547,37370,,8810,3200,6841,4400,2083,863,4942,31139,,109
110,,,The School of Oriental and African Studies,12415,176,74,902,46,13613,,1553,2683,3110,320,0,268,45,7979,,110
